column_name,dtype,missing_rate_pct,group,include_in_no_odds_model,include_in_with_odds_model,reason,remarks
horse_weight_current,float64,7.32,A_안전사전정보,Y,Y,출전 전 알 수 있는 정보,
horse_weight_delta,float64,7.32,A_안전사전정보,Y,Y,출전 전 알 수 있는 정보,
is_winner,bool,0.0,B_누설/제거,N,N,경주 중/후 기록 or 결과 직접 파생,
is_place,bool,0.0,B_누설/제거,N,N,경주 중/후 기록 or 결과 직접 파생,
implied_rank_from_win_odds,float64,0.0,C_조건부(With-Odds),N,Y,시장배당정보 - With-Odds 전용,
diffUnit_numeric,float64,60.69,B_누설/제거,N,N,경주 중/후 기록 or 결과 직접 파생,
buG1fAccTime,int64,0.0,B_누설/제거,N,N,경주 중/후 기록 or 결과 직접 파생,
buG1fOrd,int64,0.0,B_누설/제거,N,N,경주 중/후 기록 or 결과 직접 파생,
buG2fAccTime,int64,0.0,B_누설/제거,N,N,경주 중/후 기록 or 결과 직접 파생,
buG2fOrd,int64,0.0,B_누설/제거,N,N,경주 중/후 기록 or 결과 직접 파생,
buG3fAccTime,int64,0.0,B_누설/제거,N,N,경주 중/후 기록 or 결과 직접 파생,
buG3fOrd,int64,0.0,B_누설/제거,N,N,경주 중/후 기록 or 결과 직접 파생,
buG4fAccTime,int64,0.0,B_누설/제거,N,N,경주 중/후 기록 or 결과 직접 파생,
buG4fOrd,int64,0.0,B_누설/제거,N,N,경주 중/후 기록 or 결과 직접 파생,
buG6fAccTime,int64,0.0,B_누설/제거,N,N,경주 중/후 기록 or 결과 직접 파생,
buG6fOrd,int64,0.0,B_누설/제거,N,N,경주 중/후 기록 or 결과 직접 파생,
buG8fAccTime,int64,0.0,B_누설/제거,N,N,경주 중/후 기록 or 결과 직접 파생,
buG8fOrd,int64,0.0,B_누설/제거,N,N,경주 중/후 기록 or 결과 직접 파생,
buS1fAccTime,int64,0.0,B_누설/제거,N,N,경주 중/후 기록 or 결과 직접 파생,
buS1fOrd,int64,0.0,B_누설/제거,N,N,경주 중/후 기록 or 결과 직접 파생,
buS1fTime,int64,0.0,B_누설/제거,N,N,경주 중/후 기록 or 결과 직접 파생,
bu_10_8fTime,int64,0.0,B_누설/제거,N,N,경주 중/후 기록 or 결과 직접 파생,
bu_1fGTime,int64,0.0,B_누설/제거,N,N,경주 중/후 기록 or 결과 직접 파생,
bu_2fGTime,int64,0.0,B_누설/제거,N,N,경주 중/후 기록 or 결과 직접 파생,
bu_3fGTime,int64,0.0,B_누설/제거,N,N,경주 중/후 기록 or 결과 직접 파생,
bu_4_2fTime,int64,0.0,B_누설/제거,N,N,경주 중/후 기록 or 결과 직접 파생,
bu_6_4fTime,int64,0.0,B_누설/제거,N,N,경주 중/후 기록 or 결과 직접 파생,
bu_8_6fTime,int64,0.0,B_누설/제거,N,N,경주 중/후 기록 or 결과 직접 파생,
je_1cTime,int64,0.0,B_누설/제거,N,N,경주 중/후 기록 or 결과 직접 파생,
je_2cTime,int64,0.0,B_누설/제거,N,N,경주 중/후 기록 or 결과 직접 파생,
je_3cTime,int64,0.0,B_누설/제거,N,N,경주 중/후 기록 or 결과 직접 파생,
je_4cTime,int64,0.0,B_누설/제거,N,N,경주 중/후 기록 or 결과 직접 파생,
se_1cAccTime,float64,0.0,B_누설/제거,N,N,경주 중/후 기록 or 결과 직접 파생,
se_2cAccTime,float64,0.0,B_누설/제거,N,N,경주 중/후 기록 or 결과 직접 파생,
se_3cAccTime,float64,0.0,B_누설/제거,N,N,경주 중/후 기록 or 결과 직접 파생,
se_4cAccTime,float64,0.0,B_누설/제거,N,N,경주 중/후 기록 or 결과 직접 파생,
sj_1cOrd,int64,0.0,B_누설/제거,N,N,경주 중/후 기록 or 결과 직접 파생,
sj_2cOrd,int64,0.0,B_누설/제거,N,N,경주 중/후 기록 or 결과 직접 파생,
sj_3cOrd,int64,0.0,B_누설/제거,N,N,경주 중/후 기록 or 결과 직접 파생,
sj_4cOrd,int64,0.0,B_누설/제거,N,N,경주 중/후 기록 or 결과 직접 파생,
buG1fAccTime_ana,float64,100.0,B_누설/제거,N,N,_ana계열 100%결측,
buG1fOrd_ana,float64,100.0,B_누설/제거,N,N,_ana계열 100%결측,
buG2fAccTime_ana,float64,100.0,B_누설/제거,N,N,_ana계열 100%결측,
buG2fOrd_ana,float64,100.0,B_누설/제거,N,N,_ana계열 100%결측,
buG3fAccTime_ana,float64,100.0,B_누설/제거,N,N,_ana계열 100%결측,
buG3fOrd_ana,float64,100.0,B_누설/제거,N,N,_ana계열 100%결측,
buG4fAccTime_ana,float64,100.0,B_누설/제거,N,N,_ana계열 100%결측,
buG4fOrd_ana,float64,100.0,B_누설/제거,N,N,_ana계열 100%결측,
buG6fAccTime_ana,float64,100.0,B_누설/제거,N,N,_ana계열 100%결측,
buG6fOrd_ana,float64,100.0,B_누설/제거,N,N,_ana계열 100%결측,
buG8fAccTime_ana,float64,100.0,B_누설/제거,N,N,_ana계열 100%결측,
buG8fOrd_ana,float64,100.0,B_누설/제거,N,N,_ana계열 100%결측,
buS1fAccTime_ana,float64,100.0,B_누설/제거,N,N,_ana계열 100%결측,
buS1fOrd_ana,float64,100.0,B_누설/제거,N,N,_ana계열 100%결측,
buS1fTime_ana,float64,100.0,B_누설/제거,N,N,_ana계열 100%결측,
bu_10_8fTime_ana,float64,100.0,B_누설/제거,N,N,_ana계열 100%결측,
bu_1fGTime_ana,float64,100.0,B_누설/제거,N,N,_ana계열 100%결측,
bu_2fGTime_ana,float64,100.0,B_누설/제거,N,N,_ana계열 100%결측,
bu_3fGTime_ana,float64,100.0,B_누설/제거,N,N,_ana계열 100%결측,
bu_4_2fTime_ana,float64,100.0,B_누설/제거,N,N,_ana계열 100%결측,
bu_6_4fTime_ana,float64,100.0,B_누설/제거,N,N,_ana계열 100%결측,
bu_8_6fTime_ana,float64,100.0,B_누설/제거,N,N,_ana계열 100%결측,
je_1cTime_ana,float64,100.0,B_누설/제거,N,N,_ana계열 100%결측,
je_2cTime_ana,float64,100.0,B_누설/제거,N,N,_ana계열 100%결측,
je_3cTime_ana,float64,100.0,B_누설/제거,N,N,_ana계열 100%결측,
je_4cTime_ana,float64,100.0,B_누설/제거,N,N,_ana계열 100%결측,
se_1cAccTime_ana,float64,75.62,B_누설/제거,N,N,_ana계열 100%결측,
se_2cAccTime_ana,float64,69.62,B_누설/제거,N,N,_ana계열 100%결측,
se_3cAccTime_ana,float64,2.04,B_누설/제거,N,N,_ana계열 100%결측,
se_4cAccTime_ana,float64,2.04,B_누설/제거,N,N,_ana계열 100%결측,
sj_1cOrd_ana,float64,75.49,B_누설/제거,N,N,_ana계열 100%결측,
sj_2cOrd_ana,float64,69.49,B_누설/제거,N,N,_ana계열 100%결측,
sj_3cOrd_ana,float64,1.75,B_누설/제거,N,N,_ana계열 100%결측,
sj_4cOrd_ana,float64,1.75,B_누설/제거,N,N,_ana계열 100%결측,
jockey_stats_meet,str,0.0,A_안전사전정보,Y,Y,출전 전 알 수 있는 정보,
jockey_stats_ord1CntT,int64,0.0,A_안전사전정보,Y,Y,출전 전 알 수 있는 정보,
jockey_stats_ord1CntY,int64,0.0,A_안전사전정보,Y,Y,출전 전 알 수 있는 정보,
jockey_stats_ord2CntT,int64,0.0,A_안전사전정보,Y,Y,출전 전 알 수 있는 정보,
jockey_stats_ord2CntY,int64,0.0,A_안전사전정보,Y,Y,출전 전 알 수 있는 정보,
jockey_stats_qnlRateT,float64,0.0,A_안전사전정보,Y,Y,출전 전 알 수 있는 정보,
jockey_stats_qnlRateY,float64,0.0,A_안전사전정보,Y,Y,출전 전 알 수 있는 정보,
jockey_stats_rcCntT,int64,0.0,A_안전사전정보,Y,Y,출전 전 알 수 있는 정보,
jockey_stats_rcCntY,int64,0.0,A_안전사전정보,Y,Y,출전 전 알 수 있는 정보,
jockey_stats_winRateT,float64,0.0,A_안전사전정보,Y,Y,출전 전 알 수 있는 정보,
jockey_stats_winRateY,float64,0.0,A_안전사전정보,Y,Y,출전 전 알 수 있는 정보,
chulYn,int64,0.0,D_의미불명확,N,N,정의 확인 필요,
df,int64,0.0,D_의미불명확,N,N,정의 확인 필요,
differ,float64,60.69,D_의미불명확,N,N,정의 확인 필요,
hrRating,int64,0.0,A_안전사전정보,Y,Y,출전 전 알 수 있는 정보,
jkMeet,int64,0.0,A_안전사전정보,Y,Y,출전 전 알 수 있는 정보,
jkSymbol,str,0.0,A_안전사전정보,Y,Y,출전 전 알 수 있는 정보,
owCloth,str,0.0,D_의미불명확,N,N,정의 확인 필요,
plc,float64,0.0,C_조건부(With-Odds),N,Y,시장배당정보 - With-Odds 전용,
prdCtyNm,str,0.0,A_안전사전정보,Y,Y,출전 전 알 수 있는 정보,
stOrd,float64,2.04,B_누설/제거,N,N,경주 중/후 기록 or 결과 직접 파생,
trMeet,int64,0.0,A_안전사전정보,Y,Y,출전 전 알 수 있는 정보,
win,float64,0.0,C_조건부(With-Odds),N,Y,시장배당정보 - With-Odds 전용,
horse_weight,float64,0.0,A_안전사전정보,Y,Y,출전 전 알 수 있는 정보,
meet_nm,float64,100.0,B_누설/제거,N,N,100% 결측,
